,Helipad_number,FAA_index,latitude,longitude,zoom,groundtruth,category,minX,minY,maxX,maxY,url
0,0,19,61.21270277777778,-149.82658333333333,20,True,0,35,50,578,594,"http://maps.googleapis.com/maps/api/staticmap?center=61.21270277777778,-149.82658333333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
1,1,20,61.218905555555565,-149.88648055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.218905555555565,-149.88648055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
2,2,23,61.15613055555556,-149.7923,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.15613055555556,-149.7923&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
3,3,26,61.23538333333333,-149.74927499999995,20,True,1,89,94,589,588,"http://maps.googleapis.com/maps/api/staticmap?center=61.23538333333333,-149.74927499999995&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
4,4,31,61.12969444444445,-149.79591666666667,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.12969444444445,-149.79591666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
5,5,32,61.18903055555555,-149.82183055555555,20,True,2,40,1,625,419,"http://maps.googleapis.com/maps/api/staticmap?center=61.18903055555555,-149.82183055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
6,6,36,61.224775,-149.83909444444444,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.224775,-149.83909444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
7,7,68,61.516580555555564,-149.93108055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.516580555555564,-149.93108055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
8,8,82,61.521575,-149.92713888888892,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.521575,-149.92713888888892&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
9,9,83,61.51486111111111,-149.9290111111111,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=61.51486111111111,-149.9290111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
